"Country","tests_volume_indicator","gdp_per_capita","Continent","CEO2023","WHO2000","democracy_index","corruption_index","year"
"Early-demographic dividend",NA,3727.93383484374,"Other",NA,NA,NA,NA,"2021"
"East Asia & Pacific",NA,13138.7246689239,"Other",NA,NA,NA,NA,"2021"
"East Asia & Pacific (excluding high income)",NA,9813.00226050914,"Other",NA,NA,NA,NA,"2021"
"East Asia & Pacific (IDA & IBRD countries)",NA,9922.04350030871,"Other",NA,NA,NA,NA,"2021"
"Ecuador",0.0762701918151289,5965.13287054416,"Region of the Americas (AMR)",NA,0.619,5.71,38,"2021"
"Egypt",NA,NA,"Eastern Mediterranean Region (EMR)",48.05,0.752,2.93,35,"2021"
"El Salvador",0.0830015356265356,4664.31122268385,"Region of the Americas (AMR)",NA,0.608,5.72,34,"2021"
"Equatorial Guinea",NA,7406.08497479348,"African Region (AFR)",NA,0.337,1.92,16,"2021"
"Eritrea",NA,NA,"African Region (AFR)",NA,0.399,2.03,23,"2021"
"Estonia",1.46283037779491,27943.701219882,"European Region (EUR)",51.41,0.714,7.84,74,"2021"
"Ethiopia",0.0199840645390501,925.00069759158,"African Region (AFR)",NA,0.276,3.3,37,"2021"
"Euro area",NA,42527.8427055883,"Other",NA,NA,NA,NA,"2021"
"Europe & Central Asia",NA,27420.8134260688,"Other",NA,NA,NA,NA,"2021"
"Europe & Central Asia (excluding high income)",NA,8912.81407575583,"Other",NA,NA,NA,NA,"2021"
"Europe & Central Asia (IDA & IBRD countries)",NA,9982.81222980684,"Other",NA,NA,NA,NA,"2021"
"European Union",NA,38721.0779400492,"Other",NA,NA,NA,NA,"2021"
"Faroe Islands",NA,69108.2065823035,"Other",NA,NA,NA,NA,"2021"
"Fiji",0.493269602577873,4656.05134145,"Western Pacific Region (WPR)",NA,0.653,5.61,NA,"2021"
"Finland",1.12210034105188,53504.6936483441,"European Region (EUR)",60.53,0.881,9.27,86,"2021"
"Fragile and conflict affected situations",NA,1779.31329134206,"Other",NA,NA,NA,NA,"2021"
"France",2.35375159581493,43671.3084099631,"European Region (EUR)",55.31,0.994,7.99,69,"2021"
"French Polynesia",NA,20230.2410482554,"Other",NA,NA,NA,NA,"2021"
"Gabon",NA,8635.7971442819,"African Region (AFR)",NA,0.511,3.4,31,"2021"
"Gambia",NA,772.151450503284,"African Region (AFR)",NA,0.482,4.41,37,"2021"
"Georgia",2.91880324324324,5023.27438368985,"European Region (EUR)",47.14,0.615,5.12,56,"2021"
"Germany",0.698828087343898,51426.7503654421,"European Region (EUR)",55.98,0.902,8.67,80,"2021"
"Ghana",0.0468426085293555,2422.08591285021,"African Region (AFR)",44.25,0.522,6.5,41,"2021"
"Gibraltar",NA,NA,"Other",NA,NA,NA,NA,"2021"
"Greece",4.18335163694688,20310.6824798873,"European Region (EUR)",52.5,0.933,7.56,48,"2021"
"Greenland",NA,57116.295770722,"Other",NA,NA,NA,NA,"2021"
"Grenada",NA,9010.5127999358,"Region of the Americas (AMR)",NA,0.689,NA,53,"2021"
"Guam",0.782323529411765,35904.8635462723,"Other",NA,NA,NA,NA,"2021"
"Guatemala",0.146436855952642,5029.47755484093,"Region of the Americas (AMR)",NA,0.713,4.62,26,"2021"
"Guinea",NA,1189.17599945874,"African Region (AFR)",NA,0.385,2.28,29,"2021"
"Guinea-Bissau",NA,795.118605039186,"African Region (AFR)",NA,0.314,2.75,18,"2021"
"Guyana",NA,9994.64570422569,"Region of the Americas (AMR)",NA,0.554,6.25,40,"2021"
"Haiti",NA,1823.74222445285,"Region of the Americas (AMR)",NA,0.517,3.48,18,"2021"
"Heavily indebted poor countries (HIPC)",NA,1047.07519807515,"Other",NA,NA,NA,NA,"2021"
"High income",NA,48535.4658244281,"Other",NA,NA,NA,NA,"2021"
"Honduras",NA,2771.72265387572,"Region of the Americas (AMR)",NA,0.544,5.1,26,"2021"
"Hong Kong",3.22228050546268,49764.793115622,"Other",64.32,NA,5.6,76,"2021"
"Hungary",0.671023530631284,18753.0469453539,"European Region (EUR)",49.97,0.743,6.5,44,"2021"
"Iceland",1.75169452449568,68710.2442005473,"European Region (EUR)",65.15,0.932,9.18,78,"2021"
"India",0.362007363554199,2238.12714218765,"South-East Asian Region (SEAR)",45.84,0.617,6.91,41,"2021"
"Indonesia",NA,4334.2159826606,"South-East Asian Region (SEAR)",46.74,0.66,6.71,40,"2021"
"Iran",0.408130533282725,4084.20030479458,"Eastern Mediterranean Region (EMR)",NA,0.659,1.95,26,"2021"
"Iraq",0.285620482493194,4770.83534274738,"Eastern Mediterranean Region (EMR)",NA,0.637,3.51,20,"2021"
"Ireland",1.54164837153197,102001.798249145,"European Region (EUR)",55.19,0.924,9,74,"2021"
"Isle of Man",NA,NA,"Other",NA,NA,NA,NA,"2021"
"Israel",2.81073597395551,52129.5159612108,"European Region (EUR)",54.92,0.884,7.97,60,"2021"
"Italy",1.89722010338315,36449.2583375837,"European Region (EUR)",72.15,0.991,7.68,53,"2021"
"Jamaica",0.19554470709147,5183.5810181201,"Region of the Americas (AMR)",NA,0.782,7.13,43,"2021"
"Japan",0.18794658046138,40058.5373276179,"Western Pacific Region (WPR)",55.73,0.957,8.15,73,"2021"
"Jordan",NA,4152.75795426388,"Eastern Mediterranean Region (EMR)",NA,0.698,3.49,48,"2021"
"Kazakhstan",NA,10373.7897924367,"European Region (EUR)",48.15,0.752,3.08,34,"2021"
"Kenya",NA,2069.66112881918,"African Region (AFR)",NA,0.505,5.05,28,"2021"
"Kiribati",NA,1766.14428934624,"Western Pacific Region (WPR)",NA,0.495,NA,NA,"2021"
"Kosovo",NA,5269.78390114389,"Other",NA,NA,NA,36,"2021"
"Kuwait",1.08348566842467,32324.8409043988,"Eastern Mediterranean Region (EMR)",52.52,0.81,3.91,40,"2021"
"Kyrgyzstan",NA,NA,"European Region (EUR)",NA,0.455,3.62,30,"2021"
"Laos",NA,2535.62343413571,"Western Pacific Region (WPR)",NA,0.356,1.77,29,"2021"
"Late-demographic dividend",NA,11556.4864563168,"Other",NA,NA,NA,NA,"2021"
"Latin America & Caribbean",NA,8478.6334058771,"Other",NA,NA,NA,NA,"2021"
"Latin America & Caribbean (excluding high income)",NA,7873.98078159932,"Other",NA,NA,NA,NA,"2021"
"Latin America & the Caribbean (IDA & IBRD countries)",NA,8262.54208532494,"Other",NA,NA,NA,NA,"2021"
"Latvia",2.45007228915663,20930.3982374189,"European Region (EUR)",50.39,0.63,7.31,56,"2021"
"Least developed countries: UN classification",NA,1151.57131490189,"Other",NA,NA,NA,NA,"2021"
"Lebanon",NA,4136.14657516013,"Eastern Mediterranean Region (EMR)",NA,0.664,3.84,28,"2021"
"Lesotho",NA,1029.50618912869,"African Region (AFR)",NA,0.266,6.3,40,"2021"
"Liberia",NA,675.66318584916,"African Region (AFR)",NA,0.2,5.43,28,"2021"
"Libya",NA,5908.9513231651,"Eastern Mediterranean Region (EMR)",48.58,0.683,1.95,18,"2021"
"Liechtenstein",1.73558974358974,197504.548936258,"Other",NA,NA,NA,NA,"2021"
"Lithuania",1.88518152524168,23849.6156993566,"European Region (EUR)",49.87,0.722,7.18,60,"2021"
"Low & middle income",NA,5526.29613463639,"Other",NA,NA,NA,NA,"2021"
"Low income",NA,678.653210021186,"Other",NA,NA,NA,NA,"2021"
"Lower middle income",NA,2405.60357592672,"Other",NA,NA,NA,NA,"2021"
"Luxembourg",3.50382096774194,133711.794435985,"European Region (EUR)",56.31,0.928,8.68,80,"2021"
"Macao SAR, China",NA,45104.8921800265,"Other",NA,NA,NA,NA,"2021"
"Madagascar",0.00808759586294238,503.352081190858,"African Region (AFR)",NA,0.397,5.7,24,"2021"
"Malawi",NA,633.609733179475,"African Region (AFR)",NA,0.251,5.74,31,"2021"
"Malaysia",1.12831100363483,11134.6229528189,"Western Pacific Region (WPR)",50.59,0.802,7.24,53,"2021"
"Maldives",3.48620267260579,10076.3175303966,"South-East Asian Region (SEAR)",49.64,0.477,NA,29,"2021"
"Mali",NA,881.510088733585,"African Region (AFR)",NA,0.361,3.48,29,"2021"
"Malta",2.35876818181818,34881.2912726609,"European Region (EUR)",53.59,0.978,7.57,54,"2021"
"Marshall Islands",NA,6130.4371365469,"Western Pacific Region (WPR)",NA,0.504,NA,NA,"2021"
"Mauritania",NA,1998.39400265586,"African Region (AFR)",NA,0.384,4.03,28,"2021"
"Mauritius",NA,9068.98018051209,"African Region (AFR)",50.28,0.691,8.08,52,"2021"
"Mexico",0.0634214973704426,10359.1498625832,"Region of the Americas (AMR)",49.6,0.755,5.57,29,"2021"
"Micronesia, Fed. Sts.",NA,3588.75993317482,"Other",NA,NA,NA,NA,"2021"
"Middle East & North Africa",NA,7696.00660753972,"Other",NA,NA,NA,NA,"2021"
"Middle East & North Africa (excluding high income)",NA,3590.64385327725,"Other",NA,NA,NA,NA,"2021"
"Middle East & North Africa (IDA & IBRD countries)",NA,3589.59535188784,"Other",NA,NA,NA,NA,"2021"
"Middle income",NA,6085.76413323992,"Other",NA,NA,NA,NA,"2021"
"Moldova",NA,5274.74484719747,"European Region (EUR)",49.17,0.639,6.1,32,"2021"
"Monaco",NA,235132.784182144,"European Region (EUR)",57.65,0.943,NA,NA,"2021"
"Mongolia",1.77606305752076,4566.14013029182,"Western Pacific Region (WPR)",46.03,0.483,6.42,35,"2021"
"Montenegro",NA,9465.96153027794,"European Region (EUR)",48.92,0.629,6.02,45,"2021"
"Morocco",0.144698223905275,3767.52490234375,"Eastern Mediterranean Region (EMR)",46.67,0.882,5.04,41,"2021"
"Mozambique",0.0238939813421607,504.037787143107,"African Region (AFR)",NA,0.26,3.51,26,"2021"
"Myanmar",0.0763877942427039,1231.69466580785,"South-East Asian Region (SEAR)",45.28,0.138,1.02,29,"2021"
"Namibia",0.240895674300254,4919.18895548026,"African Region (AFR)",45.86,0.34,6.52,52,"2021"
"Nauru",NA,11632.6925020419,"Western Pacific Region (WPR)",NA,0.647,NA,NA,"2021"
"Nepal",0.122853358623847,1229.39420516246,"South-East Asian Region (SEAR)",44.85,0.457,4.41,34,"2021"
"Netherlands",0.919506370902351,58727.8705471475,"European Region (EUR)",54.63,0.928,8.88,82,"2021"
"New Caledonia",NA,37247.4931167883,"Other",NA,NA,NA,NA,"2021"
"New Zealand",0.852153626149132,49996.4206725811,"Western Pacific Region (WPR)",59.76,0.827,9.37,87,"2021"
"Nicaragua",NA,2064.92924633583,"Region of the Americas (AMR)",NA,0.733,2.69,22,"2021"
"Niger",NA,590.629494752737,"African Region (AFR)",NA,0.337,3.22,32,"2021"
"Nigeria",0.0135747208520338,2065.77441035114,"African Region (AFR)",NA,0.176,4.11,26,"2021"
"North America",NA,68399.102745446,"Other",NA,NA,5.8678575,NA,"2021"
"North Korea",0.0029345304612539,NA,"Other",NA,0.353,1.08,17,"2021"
"North Macedonia",NA,6778.56287821774,"European Region (EUR)",49.9,0.664,6.03,35,"2021"
"Northern Mariana Islands",NA,NA,"Other",NA,NA,NA,NA,"2021"
"Norway",1.18746384993626,93072.8925119571,"European Region (EUR)",57.38,0.955,9.75,84,"2021"
"Not classified",NA,NA,"Other",NA,NA,NA,NA,"2021"
"OECD members",NA,42731.2889452911,"Other",NA,NA,NA,NA,"2021"
"Oman",NA,19509.4664633867,"Eastern Mediterranean Region (EMR)",52.24,0.961,3,52,"2021"
